Version, Total, Open, Closed, Commits
12.1.0, 17, 11, 6, 1820
12.0.3, 0, 0, 0, 56
12.0.2+security-01, 0, 0, 0, 61
12.0.2, 31, 23, 8, 53
12.0.1+security-01, 0, 0, 0, 140
12.0.1, 28, 21, 7, 138
12.0.0+security-01, 0, 0, 0, 1159
12.0.0, 35, 23, 12, 1158
11.6.4, 0, 0, 0, 32
11.6.3+security-01, 0, 0, 0, 20
11.6.3, 2, 1, 1, 17
11.6.2+security-01, 0, 0, 0, 50
11.6.2, 1, 1, 0, 48
11.6.1+security-01, 0, 0, 0, 55
11.6.1, 17, 10, 7, 52
11.6.0+security-01, 0, 0, 0, 1361
11.6.0, 50, 31, 19, 1351
11.5.7, 0, 0, 0, 15
11.5.6+security-01, 0, 0, 0, 12
11.5.6, 0, 0, 0, 11
11.5.5+security-01, 0, 0, 0, 30
11.5.5, 0, 0, 0, 28
11.5.4+security-01, 0, 0, 0, 42
11.5.4, 0, 0, 0, 39
11.5.3+security-01, 0, 0, 0, 59
11.5.3, 7, 4, 3, 49
11.5.2, 58, 28, 30, 59
11.5.1, 33, 29, 4, 2
11.5.0, 23, 8, 15, 2015
11.4.7, 0, 0, 0, 10
11.4.6+security-01, 0, 0, 0, 12
11.4.6, 0, 0, 0, 11
11.4.5+security-01, 0, 0, 0, 27
11.4.5, 0, 0, 0, 25
11.4.4+security-01, 0, 0, 0, 31
11.4.4, 0, 0, 0, 28
11.4.3+security-01, 0, 0, 0, 34
11.4.3, 1, 1, 0, 27
11.4.2, 2, 1, 1, 28
11.4.1, 2, 0, 2, 76
11.4.0, 97, 56, 41, 2
11.3.9, 0, 0, 0, 9
11.3.8+security-01, 0, 0, 0, 10
11.3.8, 2, 1, 1, 9
11.3.7+security-01, 0, 0, 0, 28
11.3.7, 1, 0, 1, 26
11.3.6+security-01, 0, 0, 0, 29
11.3.6, 0, 0, 0, 26
11.3.5+security-01, 0, 0, 0, 28
11.3.5, 0, 0, 0, 21
11.3.4, 1, 1, 0, 22
11.3.3, 1, 1, 0, 53
11.3.2, 16, 12, 4, 39
11.3.1, 52, 37, 15, 128
11.3.0+security-01, 0, 0, 0, 1312
11.3.0, 108, 68, 40, 1309
11.2.10+security-01, 0, 0, 0, 26
11.2.10, 0, 0, 0, 24
11.2.9+security-01, 0, 0, 0, 29
11.2.9, 0, 0, 0, 26
11.2.8+security-01, 0, 0, 0, 27
11.2.8, 1, 1, 0, 20
11.2.7, 0, 0, 0, 15
11.2.6, 1, 1, 0, 32
11.2.5, 1, 1, 0, 19
11.2.4, 0, 0, 0, 34
11.2.3+security-01, 0, 0, 0, 0
11.2.3, 5, 4, 1, 0
11.2.2+security-01, 0, 0, 0, 0
11.2.1+security-01, 0, 0, 0, 0
11.1.13, 0, 0, 0, 19
11.1.12, 0, 0, 0, 15
11.1.11, 1, 0, 1, 22
11.1.10, 0, 0, 0, 17
11.1.9, 0, 0, 0, 24
11.1.8, 1, 1, 0, 0
11.1.7+security-01, 0, 0, 0, 0
11.1.6+security-01, 0, 0, 0, 0
11.0.11, 0, 0, 0, 12
11.0.10, 0, 0, 0, 21
11.0.9, 0, 0, 0, 16
11.0.8, 0, 0, 0, 22
11.0.7, 0, 0, 0, 0
11.0.6+security-01, 0, 0, 0, 0
11.0.5+security-01, 0, 0, 0, 0
10.4.19+security-01, 0, 0, 0, 24
10.4.19, 1, 1, 0, 22
10.4.18+security-01, 0, 0, 0, 24
10.4.18, 1, 0, 1, 20
10.4.17+security-01, 0, 0, 0, 26
10.4.17, 1, 1, 0, 22
10.4.16, 0, 0, 0, 11
10.4.15, 1, 1, 0, 19
10.4.14, 1, 1, 0, 15
10.4.13, 0, 0, 0, 20
10.4.12, 2, 2, 0, 3
10.4.11, 2, 1, 1, 0
10.3.12, 1, 1, 0, 0
