Version, Total, Open, Closed
13.1, 18, 13, 5
13.0, 110, 71, 39
12.30, 1, 0, 1
12.4, 131, 81, 50
12.3, 132, 78, 54
12.2, 141, 72, 69
12.1, 100, 48, 52
12.0, 134, 68, 66
11.16, 1, 1, 0
11.15, 1, 1, 0
11.14, 1, 0, 1
11.6, 115, 61, 54
11.5, 158, 56, 102
11.4, 98, 25, 73
11.3, 155, 46, 109
11.2, 81, 14, 67
11.1, 29, 10, 19
11.0, 11, 2, 9
10.4, 40, 6, 34
10.3, 7, 2, 5
10.2, 8, 1, 7
10.1, 5, 4, 1
10.0, 8, 5, 3
9.5, 14, 3, 11
9.4, 5, 1, 4
9.2, 3, 1, 2
9.1, 1, 0, 1
8.4, 3, 1, 2
7.3, 1, 0, 1
4.6, 1, 0, 1
3.6, 1, 0, 1
1.16, 1, 0, 1
0.11, 1, 1, 0
No Version, 562, 193, 369
