Grafana Bug Report
Date: 2026-07-13

## By Version
Version, Total, Open, Closed
13.1.0, 18, 13, 5
13.0.3, 1, 1, 0
13.0.2, 26, 22, 4
13.0.1, 73, 44, 29
13.0.0, 10, 4, 6
12.30.0, 1, 0, 1
12.4.4, 4, 4, 0
12.4.3, 13, 8, 5
12.4.2, 23, 16, 7
12.4.1, 40, 26, 14
12.4.0, 51, 27, 24
12.3.6, 1, 0, 1
12.3.4, 4, 3, 1
12.3.3, 6, 4, 2
12.3.2, 15, 11, 4
12.3.1, 55, 35, 20
12.3.0, 51, 25, 26
12.2.1, 25, 18, 7
12.2.0, 116, 54, 62
12.1.4, 1, 0, 1
12.1.3, 1, 1, 0
12.1.1, 51, 26, 25
12.1.0, 47, 21, 26
12.0.8, 1, 1, 0
12.0.5, 3, 3, 0
12.0.4, 1, 1, 0
12.0.3, 3, 2, 1
12.0.2, 51, 34, 17
12.0.1, 32, 12, 20
12.0.0, 43, 15, 28
11.16.4, 1, 1, 0
11.15.1, 1, 1, 0
11.14.0, 1, 0, 1
11.6.9, 4, 3, 1
11.6.7, 5, 3, 2
11.6.6, 1, 1, 0
11.6.5, 1, 1, 0
11.6.4, 3, 2, 1
11.6.3, 8, 6, 2
11.6.2, 3, 3, 0
11.6.1, 24, 11, 13
11.6.0, 66, 31, 35
11.5.10, 1, 0, 1
11.5.3, 11, 6, 5
11.5.2, 77, 28, 49
11.5.1, 45, 18, 27
11.5.0, 24, 4, 20
11.4.5, 1, 1, 0
11.4.3, 1, 0, 1
11.4.2, 3, 1, 2
11.4.1, 2, 0, 2
11.4.0, 91, 23, 68
11.3.8, 2, 1, 1
11.3.7, 1, 0, 1
11.3.4, 1, 1, 0
11.3.3, 1, 0, 1
11.3.2, 16, 6, 10
11.3.1, 51, 17, 34
11.3.0, 83, 21, 62
11.2.8, 1, 0, 1
11.2.6, 1, 1, 0
11.2.5, 1, 0, 1
11.2.3, 4, 2, 2
11.2.2, 34, 5, 29
11.2.1, 10, 1, 9
11.2.0, 30, 5, 25
11.1.11, 1, 0, 1
11.1.8, 1, 1, 0
11.1.7, 2, 1, 1
11.1.4, 6, 2, 4
11.1.3, 8, 2, 6
11.1.1, 1, 0, 1
11.1.0, 10, 4, 6
11.0.4, 1, 0, 1
11.0.0, 10, 2, 8
10.4.19, 3, 2, 1
10.4.18, 1, 0, 1
10.4.17, 1, 0, 1
10.4.15, 2, 1, 1
10.4.14, 1, 0, 1
10.4.12, 2, 0, 2
10.4.11, 2, 1, 1
10.4.10, 2, 0, 2
10.4.9, 1, 0, 1
10.4.7, 2, 0, 2
10.4.6, 2, 0, 2
10.4.5, 1, 0, 1
10.4.3, 6, 1, 5
10.4.2, 2, 0, 2
10.4.1, 11, 1, 10
10.4.0, 1, 0, 1
10.3.12, 1, 0, 1
10.3.6, 1, 0, 1
10.3.3, 3, 0, 3
10.3.1, 2, 2, 0
10.2.8, 1, 1, 0
10.2.7, 1, 0, 1
10.2.6, 1, 0, 1
10.2.3, 3, 0, 3
10.2.2, 2, 0, 2
10.1.5, 1, 1, 0
10.1.1, 3, 2, 1
10.1.0, 1, 1, 0
10.0.8, 1, 0, 1
10.0.3, 4, 2, 2
10.0.1, 2, 2, 0
10.0.0, 1, 1, 0
9.5.21, 2, 0, 2
9.5.18, 1, 0, 1
9.5.17, 1, 0, 1
9.5.16, 1, 1, 0
9.5.15, 2, 0, 2
9.5.7, 1, 0, 1
9.5.6, 1, 0, 1
9.5.2, 4, 2, 2
9.5.0, 1, 0, 1
9.4.17, 1, 0, 1
9.4.10, 1, 0, 1
9.4.3, 1, 0, 1
9.4.1, 1, 0, 1
9.4.0, 1, 1, 0
9.2.10, 2, 0, 2
9.2.3, 1, 1, 0
9.1.6, 1, 0, 1
8.4.3, 1, 0, 1
8.4.0, 2, 1, 1
7.3.6, 1, 0, 1
4.6.0, 1, 0, 1
3.6.11, 1, 0, 1
1.16.1, 1, 0, 1
0.11.3, 1, 1, 0
No Version, 562, 193, 369


## Overall Stats
- Total Bugs Scanned: 2674
- Total Open Bugs: 1104
- Total Closed Bugs: 1570
- Total Bugs with Version: 1516
- Total Bugs with Version (but not exact version): 596
